waterBody	siteName	waterQuality	month	season	siteCode	samplingDepth	temperature	waterTempeature	salinity	pH	DOByTitration	DOByElectrode	DOSaturation	SS	SSMethodLimit	chlorophyllA	chlorophyllAMethodLimit	ammoniaN	ammoniaNMethodLimit	nitrateN	nitrateNMethodLimit	PH4N	PH4NMethodLimit	nitriteN	nitriteNMethodLimit	silicate	silicateMethodLimit	Cd	CdMethodLimit	Cr	CrMethodLimit	Cu	CuMethidLimit	Zn	ZnMethodLimit	Pb	PbMethodLimit	Hg	HgMethodLimit	year
雲林沿海海域	六輕沿海一	甲	3	1	5173	1	15.7	19.1	33.6	8.2	7.5	7.5	97.1	23.7	NA	0	0.1	0.03	NA	0.1	NA	0.041	NA	0.012	NA	0.458	NA	0.00002	NA	0	0.001	0.0015	NA	0.0016	NA	0.0008	NA	0	0.0003	2008
雲林沿海海域	六輕沿海一	甲	3	1	5173	1	19.3	16.4	33.8	8.3	8.6	7.8	96	53.9	NA	0.2	NA	0	0.02	0.1	NA	0.162	NA	0.01	NA	1.8	NA	0	0.00001	0	0.001	0.0008	NA	0.0022	NA	0.0007	NA	0	0.0003	2005
雲林沿海海域	六輕沿海一	甲	3	1	5173	1	16.9	21.5	34.2	8.2	NA	7.1	97	10.2	NA	0.3	NA	0.02	NA	0.02	NA	0.01	NA	0.01	NA	0.39	NA	0.00001	NA	0	0.001	0.001	NA	0.0011	NA	0.0002	NA	0	0.0003	2011
雲林沿海海域	六輕沿海一	甲	3	1	5173	1	NA	22.5	33.8	8.2	7.6	NA	NA	13.4	NA	2	NA	NA	NA	0	0.05	0	0.025	0.015	NA	0.24	NA	0	0.0005	0	0.002	0.002	NA	0.007	NA	0	0.004	0.0007	NA	2002
雲林沿海海域	六輕沿海二	甲	3	1	5174	1	16.8	17.4	33.5	7.8	7.6	7	87	30.2	NA	0.2	NA	0.09	NA	0.17	NA	0.11	NA	0.013	NA	1.08	NA	0	0.00001	0	0.001	0.0009	NA	0.0034	NA	0.001	NA	0	0.0003	2005
雲林沿海海域	六輕沿海二	甲	3	1	5174	1	15.6	19.9	33.5	8.2	7.4	7.6	97.3	27.6	NA	0	0.1	0.09	NA	0.13	NA	0.062	NA	0.016	NA	0.536	NA	0.00002	NA	0	0.001	0.0012	NA	0.0013	NA	0.0002	NA	0	0.0003	2008
雲林沿海海域	六輕沿海二	甲	3	1	5174	1	16.7	21.6	34.2	8	NA	6.8	93	8.2	NA	1.1	NA	0.03	NA	0.03	NA	0.011	NA	0.012	NA	0.422	NA	0.00001	NA	0	0.001	0.0005	NA	0.0013	NA	0.0001	NA	0	0.0003	2011
雲林沿海海域	六輕沿海二	甲	3	1	5174	1	NA	22.4	34.4	8.1	7.6	NA	NA	19.5	NA	2	NA	NA	NA	0	0.05	0.037	NA	0.018	NA	0.4	NA	0	0.0005	0	0.002	0.003	NA	0.014	NA	0	0.004	0.0007	NA	2002
雲林沿海海域	台西外海	甲	3	1	5175	1	16.3	18.4	34.2	8.3	7.9	7.4	94	111	NA	0.3	NA	0	0.02	0.06	NA	0.052	NA	0.009	NA	0.37	NA	0	0.00001	0	0.001	0.0005	NA	0.0015	NA	0.0002	NA	0	0.0003	2005
雲林沿海海域	台西外海	甲	3	1	5175	1	15	19.7	34.1	8.2	7.5	7.5	98.1	32.5	NA	0	0.1	0.03	NA	0.37	NA	0.018	NA	0.007	NA	0.262	NA	0.00001	NA	0	0.001	0.001	NA	0.0009	NA	0.0002	NA	0	0.0003	2008
雲林沿海海域	台西外海	甲	3	1	5175	1	16.4	21.8	34.3	8.2	NA	7.1	97.5	2.5	NA	0.7	NA	0	0.01	0.01	NA	0.005	NA	0.004	NA	0.36	NA	0.00001	NA	0	0.001	0.0005	NA	0.0023	NA	0.0001	NA	0	0.0003	2011
雲林沿海海域	台西外海	甲	3	1	5175	1	NA	22.3	34	8.2	7.7	NA	NA	6.2	NA	2.5	NA	NA	NA	0	0.05	0.037	NA	0.005	NA	0.23	NA	0	0.0005	0	0.002	0.002	NA	0.01	NA	0	0.004	0.0006	NA	2002
雲林沿海海域	三條崙外海	甲	3	1	5176	1	NA	22.8	34.2	8.2	7.4	NA	NA	5.4	NA	1.8	NA	NA	NA	0	0.05	0.028	NA	0.002	NA	0.25	NA	0	0.0005	0	0.002	0.002	NA	0	0.0005	0	0.004	0	0.0006	2002
雲林沿海海域	三條崙外海	甲	3	1	5176	1	16.5	19.8	34.7	8.3	7.5	7.1	93	27	NA	0.4	NA	0	0.02	0.04	NA	0.077	NA	0.008	NA	0.57	NA	0	0.00001	0	0.001	0.001	NA	0.0025	NA	0.0087	NA	0	0.0003	2005
雲林沿海海域	三條崙外海	甲	3	1	5176	1	16.4	22.2	34.3	8.3	NA	7.1	99	2.4	NA	0.7	NA	0.01	NA	0.01	NA	0	0.003	0.004	NA	0.342	NA	0.00002	NA	0	0.001	0.0006	NA	0.0018	NA	0.0007	NA	0	0.0003	2011
雲林沿海海域	三條崙外海	甲	3	1	5176	1	14.3	19.6	34.1	8.1	7.4	7.3	97.9	11.4	NA	0	0.1	0.03	NA	0.05	NA	0.017	NA	0.005	NA	0.206	NA	0.00001	NA	0	0.001	0.0012	NA	0.0012	NA	0.0002	NA	0	0.0003	2008
雲林沿海海域	北港溪口一	甲	3	1	5177	1	14.1	18	33.6	7.9	7.5	7.7	98.3	41.8	NA	0	0.1	0.05	NA	0.18	NA	0.029	NA	0.016	NA	0.461	NA	0.00003	NA	0	0.001	0.0016	NA	0.0031	NA	0.0003	NA	0	0.0003	2008
雲林沿海海域	北港溪口一	甲	3	1	5177	1	13.6	16	33.7	8.2	8.7	7.8	95	158	NA	0.4	NA	0	0.02	0.11	NA	0.067	NA	0.009	NA	1.08	NA	0	0.00001	0	0.001	0.0007	NA	0.0015	NA	0.0003	NA	0	0.0003	2005
雲林沿海海域	北港溪口一	甲	3	1	5177	1	16.2	20.2	33.7	8.2	NA	7.3	99.7	6	NA	2.1	NA	0.16	NA	0.06	NA	0.065	NA	0.048	NA	0.61	NA	0.00002	NA	0	0.001	0.0003	NA	0.0018	NA	0.0002	NA	0	0.0003	2011
雲林沿海海域	北港溪口一	甲	3	1	5177	1	NA	22.2	34.2	8.2	7.6	NA	NA	11.6	NA	3.6	NA	NA	NA	0	0.05	0.061	NA	0.016	NA	0.25	NA	0	0.0005	0	0.002	0.004	NA	0.068	NA	0	0.004	0.0006	NA	2002
東石布袋沿海海域	東石港外海一	甲	3	1	5178	1	NA	22.9	34.1	8.2	7.2	NA	NA	14.1	NA	6.5	NA	NA	NA	0	0.05	0.037	NA	0.005	NA	0.21	NA	0	0.0005	0	0.002	0.0021	NA	0.0097	NA	0	0.004	0	0.0006	2002
東石布袋沿海海域	東石港外海二	甲	3	1	5179	1	NA	23.2	34.1	8.2	7.1	NA	NA	23.3	NA	2.4	NA	NA	NA	0.06	NA	0.052	NA	0.018	NA	0.26	NA	0	0.0005	0	0.002	0.0021	NA	0.0065	NA	0	0.004	0	0.0006	2002
東石布袋沿海海域	布袋港外海一	甲	3	1	5180	1	NA	23.1	34.1	8.2	7.2	NA	NA	9.2	NA	1.8	NA	NA	NA	0	0.05	0.049	NA	0.006	NA	0.42	NA	0	0.0005	0	0.002	0	0.0005	0.0014	NA	0	0.004	0	0.0006	2002
東石布袋沿海海域	布袋港外海二	甲	3	1	5181	1	NA	23.3	34.1	8.1	7.1	NA	NA	17.9	NA	4	NA	NA	NA	0	0.05	0.043	NA	0.012	NA	0.52	NA	0	0.0005	0	0.002	0.0021	NA	0.0056	NA	0	0.004	0	0.0006	2002
東石布袋沿海海域	八掌溪口北側	甲	3	1	5182	1	NA	22.9	34.1	8.2	7.2	NA	NA	15.5	NA	10.1	NA	NA	NA	0	0.05	0.049	NA	0.012	NA	0.73	NA	0	0.0005	0	0.002	0	0.0005	0.0067	NA	0	0.004	0	0.0006	2002
東石布袋沿海海域	朴子溪口外4海浬	甲	3	1	5183	1	NA	23.2	34.1	8.2	7.3	NA	NA	19	NA	2.6	NA	NA	NA	0.11	NA	0.058	NA	0.026	NA	1.31	NA	0	0.0005	0	0.002	0.0012	NA	0.0018	NA	0	0.004	0.0008	NA	2002
二仁溪口沿海海域	二仁溪口南側	乙	3	1	5184	1	NA	23.9	34.1	8.3	7.1	NA	NA	5.2	NA	2.1	NA	NA	NA	0	0.05	0.043	NA	0.002	NA	0.52	NA	0	0.0005	0	0.002	0.0012	NA	0.0032	NA	0	0.004	0	0.0006	2002
二仁溪口沿海海域	二仁溪口北側	乙	3	1	5185	1	NA	23.9	34.1	8.2	6.4	NA	NA	7.7	NA	2.6	NA	NA	NA	0	0.05	0.058	NA	0.006	NA	0.47	NA	0	0.0005	0	0.002	0.0026	NA	0.0058	NA	0	0.004	0.0008	NA	2002
二仁溪口沿海海域	二仁溪口外側	乙	3	1	5186	1	NA	23.9	34.1	8.3	6.7	NA	NA	5.6	NA	1.8	NA	NA	NA	0	0.05	0	0.025	0.003	NA	0.52	NA	0	0.0005	0	0.002	0.0008	NA	0.0011	NA	0	0.004	0.0006	NA	2002
二仁溪口沿海海域	二仁溪口	乙	3	1	5187	1	NA	24.5	34.3	7.9	3.1	NA	NA	16.9	NA	24.9	NA	NA	NA	0.08	NA	1.95	NA	0.027	NA	5.23	NA	0	0.0005	0	0.002	0.0374	NA	0.0602	NA	0	0.004	0	0.0006	2002
二仁溪口沿海海域	二仁溪口外4海浬	乙	3	1	5188	1	NA	23.9	34.1	8.3	8.2	NA	NA	0	3	3.1	NA	NA	NA	0	0.05	0	0.025	0.005	NA	0.63	NA	0	0.0005	0	0.002	0.0071	NA	0.0094	NA	0	0.004	0.0008	NA	2002
高雄港沿海海域	高雄港口外一	乙	3	1	5189	1	NA	22	34.3	8.3	7.3	7.5	105.3	0	3	7	NA	NA	NA	0	0.05	0	0.025	0.001	NA	0	0.05	0	0.0005	0	0.002	0.0009	NA	0.0077	NA	0	0.004	0	0.0006	2004
高雄港沿海海域	高雄港口外一	乙	3	1	5189	1	NA	24.6	34.2	8.2	7.3	NA	NA	3.2	NA	3.9	NA	NA	NA	0.05	NA	0.067	NA	0.002	NA	0.52	NA	0	0.0005	0	0.002	0.0012	NA	0.004	NA	0	0.004	0	0.0006	2002
高雄港沿海海域	高雄港口外一	乙	3	1	5189	1	19	22	34.2	8.2	6.7	6.6	92.1	6.5	NA	0.4	NA	0.06	NA	0	0.01	0.043	NA	0.007	NA	0.26	NA	0.00005	NA	0	0.001	0.0013	NA	0.0051	NA	0.0008	NA	0	0.0003	2005
高雄港沿海海域	高雄港口外二	乙	3	1	5190	1	NA	24.6	34.2	8.2	6.9	NA	NA	6.7	NA	11.6	NA	NA	NA	0	0.05	0.04	NA	0.012	NA	0.63	NA	0	0.0005	0	0.002	0.003	NA	0.0039	NA	0	0.004	0	0.0006	2002
高雄港沿海海域	高雄港口外二	乙	3	1	5190	1	NA	21.9	34.2	8.3	6.6	6.8	94.6	0	3	5	NA	NA	NA	0.16	NA	0.028	NA	0.009	NA	0.11	NA	0	0.0005	0	0.002	0.0013	NA	0.0104	NA	0.0136	NA	0	0.0006	2004
高雄港沿海海域	高雄港口外二	乙	3	1	5190	1	19	21.9	34.2	8.2	6.9	6.6	92.3	6.1	NA	0.3	NA	0.04	NA	0	0.01	0.04	NA	0.006	NA	0.2	NA	0.00003	NA	0	0.001	0.0013	NA	0.0212	NA	0.0031	NA	0	0.0003	2005
高雄港沿海海域	高雄港口外三	乙	3	1	5191	1	NA	21.6	34.3	8.2	6.6	6.9	95.7	0	3	3.1	NA	NA	NA	0.06	NA	0	0.025	0.002	NA	0.07	NA	0	0.0005	0	0.002	0.001	NA	0.0087	NA	0	0.004	0	0.0006	2004
高雄港沿海海域	高雄港口外三	乙	3	1	5191	1	NA	24.7	34.2	8.2	7	NA	NA	0	3	2.7	NA	NA	NA	0	0.05	0.049	NA	0.001	NA	0.31	NA	0	0.0005	0	0.002	0.0017	NA	0.0055	NA	0	0.004	0	0.0006	2002
高雄港沿海海域	高雄港口外三	乙	3	1	5191	1	19	22.4	34.2	8.2	6.9	7	98.1	7.9	NA	0.3	NA	0	0.02	0	0.01	0.021	NA	0.003	NA	0.29	NA	0.00005	NA	0	0.001	0.0014	NA	0.0053	NA	0.0036	NA	0.0003	NA	2005
高雄港沿海海域	旗津	乙	3	1	5192	1	NA	21.9	34.2	8.3	7.2	7.1	98.5	5.8	NA	3	NA	NA	NA	0	0.05	0	0.025	0.002	NA	0.13	NA	0	0.0005	0	0.002	0.0016	NA	0.0076	NA	0	0.004	0	0.0006	2004
高雄港沿海海域	旗津	乙	3	1	5192	1	NA	24.7	34.2	8.2	6.8	NA	NA	3.1	NA	4	NA	NA	NA	0	0.05	0.19	NA	0.002	NA	0.47	NA	0	0.0005	0	0.002	0.0017	NA	0.0022	NA	0	0.004	0.0009	NA	2002
高雄港沿海海域	旗津	乙	3	1	5192	1	19	22.4	34.1	8.2	6.9	6.8	95.8	6.1	NA	0.2	NA	0.09	NA	0	0.01	0.04	NA	0.001	NA	0.25	NA	0.00005	NA	0	0.001	0.0017	NA	0.0042	NA	0.0018	NA	0.0008	NA	2005
高屏溪口沿海海域	中芸港外	乙	3	1	5193	1	NA	25	34.2	8.2	6.3	NA	NA	3.2	NA	2.8	NA	NA	NA	0	0.05	0.092	NA	0.009	NA	0.99	NA	0	0.0005	0	0.002	0.0012	NA	0.0054	NA	0	0.004	0	0.0006	2002
高屏溪口沿海海域	高屏溪東港溪之間-1	乙	3	1	5194	1	NA	23.6	34.2	8.2	5.1	NA	NA	0	3	1.2	NA	NA	NA	0	0.05	0.064	NA	0.008	NA	0.68	NA	0	0.0005	0	0.002	0.0012	NA	0.0037	NA	0	0.004	0.0009	NA	2002
高屏溪口沿海海域	高屏溪口外4海浬	乙	3	1	5195	1	NA	24	34.1	8.2	5.2	NA	NA	0	3	1	NA	NA	NA	0	0.05	0.046	NA	0.004	NA	0.57	NA	0	0.0005	0	0.002	0	0.0005	0.0045	NA	0	0.004	0.0008	NA	2002
高屏溪口沿海海域	高屏溪出海口	乙	3	1	5196	1	NA	23.5	34.1	8.2	4.7	NA	NA	10.2	NA	67.1	NA	NA	NA	0.2	NA	1.78	NA	0.165	NA	0.5	NA	0	0.0005	0	0.002	0.0007	NA	0.0047	NA	0	0.004	0.0007	NA	2002
高屏溪口沿海海域	東港溪出海口	乙	3	1	5197	1	NA	24.2	34.2	8	5.3	NA	NA	3.6	NA	12.6	NA	NA	NA	0.09	NA	1.04	NA	0.067	NA	2.83	NA	0	0.0005	0	0.002	0.0021	NA	0.0014	NA	0	0.004	0.0008	NA	2002
大鵬灣沿海海域	大鵬灣灣內-1	乙	3	1	5198	1	NA	18.8	34.2	8.2	5.6	NA	NA	10.7	NA	7.4	NA	NA	NA	0	0.05	0.043	NA	0.004	NA	0.73	NA	0	0.0005	0	0.002	0.0044	NA	0.0026	NA	0	0.004	0.0012	NA	2002
大鵬灣沿海海域	大鵬灣灣內-2	乙	3	1	5199	1	NA	19	34.3	8.2	5.7	NA	NA	33.5	NA	5.2	NA	NA	NA	0	0.05	0.043	NA	0.003	NA	0.63	NA	0	0.0005	0	0.002	0.0008	NA	0.0091	NA	0	0.004	0.001	NA	2002
南灣核三廠沿海海域	核三廠出水口右側	乙	3	1	5200	1	NA	26.5	34.4	8.2	6.4	NA	NA	0	3	4.4	NA	NA	NA	0	0.05	0.025	NA	0.002	NA	0.42	NA	0	0.0005	0	0.002	0.0035	NA	0.0021	NA	0	0.004	0.0014	NA	2002
南灣核三廠沿海海域	核三廠出水口左側	乙	3	1	5201	1	NA	26.6	34.4	8.2	6.3	NA	NA	0	3	2.8	NA	NA	NA	0	0.05	0	0.025	0.002	NA	0.26	NA	0	0.0005	0	0.002	0.0008	NA	0.004	NA	0	0.004	0.0007	NA	2002
南灣核三廠沿海海域	核三廠入水口	乙	3	1	5202	1	NA	24.7	34.2	8.2	6.4	NA	NA	0	3	3.5	NA	NA	NA	0	0.05	0	0.025	0.002	NA	0.21	NA	0	0.0005	0	0.002	0.0008	NA	0.0007	NA	0	0.004	0	0.0006	2002
南灣核三廠沿海海域	後壁湖漁港	乙	3	1	5203	1	NA	24.7	34.2	8.2	6.6	NA	NA	7.1	NA	0	NA	NA	NA	0	0.05	0	0.025	0.002	NA	0.26	NA	0	0.0005	0	0.002	0	0.0005	0.001	NA	0	0.004	0.0007	NA	2002
南灣核三廠沿海海域	南灣	乙	3	1	5204	1	NA	25	34.2	8.2	6.4	NA	NA	3.9	NA	1.9	NA	NA	NA	0	0.05	0	0.025	0.002	NA	0.31	NA	0	0.0005	0	0.002	0.0008	NA	0.0074	NA	0	0.004	0.0006	NA	2002
南灣核三廠沿海海域	石牛溪口	乙	3	1	5205	1	NA	24.5	34.1	8.2	6.4	NA	NA	3.8	NA	8.8	NA	NA	NA	0	0.05	0	0.025	0.002	NA	0.26	NA	0	0.0005	0	0.002	0.0006	NA	0.0014	NA	0	0.004	0.0009	NA	2002
台東沿海海域	卑南溪河口	甲	3	1	5206	1	NA	24.3	34.1	8.2	6.4	NA	NA	22.4	NA	3.2	NA	NA	NA	0	0.05	0.031	NA	0.003	NA	0.57	NA	0	0.0005	0	0.002	0.0008	NA	0	0.0005	0	0.004	0	0.0006	2002
台東沿海海域	知本溪口	甲	3	1	5207	1	NA	24.2	34.2	8.2	6.4	NA	NA	4.8	NA	2.7	NA	NA	NA	0	0.05	0	0.025	0.002	NA	0.36	NA	0	0.0005	0	0.002	0.0008	NA	0.0017	NA	0	0.004	0	0.0006	2002
台東沿海海域	富岡港外	甲	3	1	5208	1	NA	24.9	34.2	8.2	6.3	NA	NA	3.5	NA	3.9	NA	NA	NA	0	0.05	0	0.025	0.001	NA	0.15	NA	0	0.0005	0	0.002	0.0012	NA	0.0063	NA	0	0.004	0	0.0006	2002
台東沿海海域	成功港外海	甲	3	1	5209	1	NA	25	34.4	8.1	6.7	NA	NA	5.4	NA	3	NA	NA	NA	0	0.05	0.037	NA	0.002	NA	0.26	NA	0	0.0005	0	0.002	0.0008	NA	0.0043	NA	0	0.004	0.0008	NA	2002
台東沿海海域	蘭嶼	甲	3	1	5210	1	NA	25.3	34.4	8.2	6.6	NA	NA	0	3	5.6	NA	NA	NA	0	0.05	0	0.025	0	0.001	0.21	NA	0	0.0005	0	0.002	0	0.0005	0.0038	NA	0	0.004	0	0.0006	2002
台東沿海海域	蘭嶼	甲	3	1	5210	1	24.1	24	34.2	8.1	6.1	6.4	92.5	2.2	NA	0.1	NA	0	0.02	0	0.01	0	0.004	0.001	NA	0.31	NA	0.00002	NA	0	0.001	0.0003	NA	0.002	NA	0	0.0002	0.0005	NA	2005
台東沿海海域	綠島	甲	3	1	5211	1	NA	24.4	34.2	8.2	6.7	NA	NA	0	3	2.8	NA	NA	NA	0	0.05	0	0.025	0.001	NA	0.26	NA	0	0.0005	0	0.002	0	0.0005	0.001	NA	0	0.004	0	0.0006	2002
台東沿海海域	卑南溪口外4海浬	甲	3	1	5212	1	NA	24.4	34.6	8.2	6.5	NA	NA	0	3	5	NA	NA	NA	0	0.05	0	0.025	0.002	NA	0.36	NA	0	0.0005	0	0.002	0	0.0005	0.0013	NA	0	0.004	0	0.0006	2002
澎湖沿海海域	烏崁海域	甲	3	1	5213	1	NA	23.5	34.5	8.2	7	NA	NA	0	3	1.4	NA	NA	NA	0	0.05	0	0.025	0	0.001	0.25	NA	0	0.0005	0	0.002	0.0013	NA	0.0028	NA	0	0.004	0	0.0006	2002
澎湖沿海海域	紗帽山海域	甲	3	1	5214	1	NA	23.6	34.4	8.2	6.7	NA	NA	3.4	NA	0	NA	NA	NA	0	0.05	0.031	NA	0	0.001	0.21	NA	0	0.0005	0	0.002	0.0017	NA	0.0018	NA	0	0.004	0	0.0006	2002
澎湖沿海海域	龍門海域	甲	3	1	5215	1	NA	23.4	34.4	8.2	6.7	NA	NA	0	3	2	NA	NA	NA	0	0.05	0	0.025	0	0.001	0.21	NA	0	0.0005	0	0.002	0.0017	NA	0.0026	NA	0	0.004	0	0.0006	2002
澎湖沿海海域	吉貝海域	甲	3	1	5216	1	NA	21.9	34.5	8.2	6.8	NA	NA	0	3	1.9	NA	NA	NA	0	0.05	0	0.025	0.001	NA	0.25	NA	0	0.0005	0	0.002	0.0038	NA	0.0124	NA	0	0.004	0	0.0006	2002
澎湖沿海海域	七美海域	甲	3	1	5217	1	NA	23.3	34.4	8.2	6.8	NA	NA	0	3	2.4	NA	NA	NA	0	0.05	0	0.025	0.001	NA	0.25	NA	0	0.0005	0	0.002	0.0015	NA	0.0045	NA	0	0.004	0	0.0006	2002
澎湖沿海海域	望安海域	甲	3	1	5218	1	NA	23	34.3	8.2	6.9	NA	NA	0	3	3	NA	NA	NA	0	0.05	0	0.025	0	0.001	0.21	NA	0	0.0005	0	0.002	0.0011	NA	0.0017	NA	0	0.004	0	0.0006	2002
澎湖沿海海域	外垵4海浬外	甲	3	1	5219	1	NA	22.3	34.4	8.2	6.8	NA	NA	0	3	2	NA	NA	NA	0	0.05	0	0.025	0.001	NA	0.33	NA	0	0.0005	0	0.002	0.0034	NA	0.0018	NA	0	0.004	0	0.0006	2002
金門沿海海域	金門后江灣外	乙	3	1	5930	1	14.2	14.1	32.2	8.1	NA	8.7	102.3	12.6	NA	0.5	NA	0.02	NA	0.35	NA	0.074	NA	0.008	NA	1.21	NA	0.00002	NA	0	0.001	0.0005	NA	0.0035	NA	0.0003	NA	0	0.0003	2011
金門沿海海域	金烈水道南側	乙	3	1	5931	1	14.4	13.3	31	8.1	NA	8.8	100.3	23.2	NA	0.4	NA	0.03	NA	0.44	NA	0.078	NA	0.011	NA	1.33	NA	0.00002	NA	0	0.001	0.0006	NA	0.0031	NA	0.0002	NA	0	0.0003	2011
金門沿海海域	金門本島東側沿海	乙	3	1	5932	1	14.2	13.4	31.1	8.1	NA	8.8	101.3	19.6	NA	1.1	NA	0.03	NA	0.42	NA	0.083	NA	0.01	NA	1.25	NA	0.00003	NA	0	0.001	0.0005	NA	0.0027	NA	0.0003	NA	0	0.0003	2011
新竹香山沿海海域	頭前溪口南側	乙	4	2	5142	1	23.9	25	34.2	8.1	NA	6.9	101.1	3.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00002	NA	NA	NA	0.0003	NA	0.0029	NA	0.0003	NA	0	0.0003	2015
新竹香山沿海海域	鳳山溪北側	乙	4	2	5143	1	24.1	25.1	34.3	8.1	NA	7	101.6	5.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00002	NA	NA	NA	0.0003	NA	0.0016	NA	0.0003	NA	0	0.0003	2015
新竹香山沿海海域	客雅溪河口外4海浬處	乙	4	2	5144	1	26	25.2	34.4	8.1	NA	6.9	100.4	3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00003	NA	NA	NA	0.0003	NA	0.0117	NA	0.001	NA	0	0.0003	2015
新竹香山沿海海域	紅毛港外	乙	4	2	5145	1	23.7	24.3	34	8.2	NA	7.2	104.1	5.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00002	NA	NA	NA	0.0005	NA	0.0022	NA	0.0001	NA	0	0.0003	2015
新竹香山沿海海域	中港溪口一	乙	4	2	5159	1	26	25	34.4	8.2	NA	7.1	103.3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00002	NA	NA	NA	0.0003	NA	0.0016	NA	0.0002	NA	0	0.0003	2015
新竹香山沿海海域	中港溪口二	乙	4	2	5160	1	23.8	25.2	34.4	8.2	NA	6.9	101.7	3.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00002	NA	NA	NA	0.0002	NA	0.0016	NA	0.0002	NA	0	0.0003	2015
新竹香山沿海海域	通霄溪口	乙	4	2	5161	1	24	24.9	34.4	8.2	NA	6.9	100	6.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00003	NA	NA	NA	0.0004	NA	0.0024	NA	0.0002	NA	0	0.0003	2015
台中港沿海海域	大安溪口	乙	4	2	5162	1	23.2	24.3	34.4	8.2	NA	7	100.1	10.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00003	NA	NA	NA	0.0006	NA	0.0033	NA	0.0002	NA	0	0.0003	2015
台中港沿海海域	台中港沿海一	乙	4	2	5163	1	23.6	24.6	34.4	8.2	NA	6.8	98.6	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00002	NA	NA	NA	0.0003	NA	0.0012	NA	0.0005	NA	0	0.0003	2015
台中港沿海海域	台中港沿海二	乙	4	2	5164	1	24	24.4	34.4	8.2	NA	6.8	98.8	6.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00002	NA	NA	NA	0.0003	NA	0.0051	NA	0.0002	NA	0	0.0003	2015
台中港沿海海域	大肚溪口	乙	4	2	5165	1	23.5	24.6	34.4	8.2	NA	6.9	99.1	9.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00005	NA	NA	NA	0.0004	NA	0.003	NA	0.0003	NA	0	0.0003	2015
台中港沿海海域	大肚溪口外4海浬	乙	4	2	5166	1	23	25.3	34.3	8.2	NA	6.7	99.2	5.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00003	NA	NA	NA	0.0007	NA	0.007	NA	0.0003	NA	0	0.0003	2015
彰濱沿海海域	彰濱沿海一	乙	4	2	5167	1	24	24.8	34.2	8.2	NA	6.9	101.5	8.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00002	NA	NA	NA	0.0005	NA	0.0053	NA	0.0002	NA	0	0.0003	2015
彰濱沿海海域	彰濱沿海二	乙	4	2	5168	1	24.3	24.5	34.3	8.2	NA	6.9	99.4	11.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00002	NA	NA	NA	0.0004	NA	0.0013	NA	0.0002	NA	0	0.0003	2015
彰濱沿海海域	彰濱沿海三	乙	4	2	5169	1	23.3	24.1	33.7	8.1	NA	7.1	101.6	16.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00003	NA	NA	NA	0.0006	NA	0.0028	NA	0.0001	NA	0	0.0003	2015
雲林沿海海域	濁水溪口一	甲	4	2	5170	1	24.3	24.4	34.5	8.1	NA	6.8	98	13.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00001	NA	NA	NA	0.0004	NA	0.0014	NA	0.0002	NA	0	0.0003	2015
雲林沿海海域	濁水溪口二	甲	4	2	5171	1	24	24.2	34.6	8.2	NA	6.8	98.5	11.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00003	NA	NA	NA	0.0004	NA	0.0013	NA	0.0002	NA	0	0.0003	2015
雲林沿海海域	濁水溪口外4海浬	甲	4	2	5172	1	22.8	24.4	34.6	8.2	NA	6.8	98.2	12.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00003	NA	NA	NA	0.0005	NA	0.0014	NA	0.0001	NA	0	0.0003	2015
雲林沿海海域	六輕沿海一	甲	4	2	5173	1	24.5	24.2	34.4	8.1	NA	6.8	98.5	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00003	NA	NA	NA	0.0006	NA	0.0023	NA	0.0002	NA	0	0.0003	2015
